commit	message	characters	characters %
92058e4d3e032714da6d2df5fa1fe2cf612979a5	support pager.* for external commands	56	0.21
70b006b9712b57741ec1320b15aef2f8b1d6a905	Tie it all together: "git log"	55	0.21
377d0276ca7446ce9fb2f6987b1e6b4ba9e7cf29	make "git pack-redundant" a built-in	54	0.2
7ae0b0cb65f069b657155abcb6aa6780b93ce881	git-log (internal): more options.	53	0.2
113f10f22f4b3b599e44e192e241e0bace9cc39e	Make git-clean a builtin	53	0.2
226ad3482ac506af0eadd04e732dda556fda80e4	builtin: add git-check-mailmap command	52	0.2
39177c7f184b4c07a1f53f99f59c920c3fb6222d	Merge branch 'mg/verify-commit'	52	0.2
030149a4dcd584f6b47221f5b087d081e582d790	git --paginate: paginate external commands again	51	0.19
dc4179f9a76473176eb473f6f568b0006c823fba	maint: check return of split_cmdline to avoid bad config strings	51	0.19
1e1ea69fa4e5fb20baefe9e5422527e971d56a86	pull: implement skeletal builtin pull	51	0.19
11920d28da1ac1b65eb4041c1b7355924e5d1366	Add a built-in alias for 'stage' to the 'add' command	51	0.19
f2dd8c3799ddbd7df63a89a9043916f8545a70a3	git: add --info-path and --man-path options	49	0.18
1bf072e3661eeef8d9721079a332e804b5678c7e	bisect--helper: implement "git bisect--helper"	49	0.18
77cb17e940c806a4cc811bfd66187277b729a1e7	Exec git programs without using PATH.	48	0.18
fc045fe7d4fa220f19274715c936636fe0516ea3	Mark messages for translations	48	0.18
ae021d87911da4328157273df24779892cb51277	use skip_prefix to avoid magic numbers	48	0.18
6ce4e61f1be690681f6494eb5ca26540c2316f81	Trace into a file or an open fd and refactor tracing code.	48	0.18
3eefc189172b88dece6fb6d479b3ed13cc483dbc	Tentative built-in format-patch.	48	0.18
acca687fa9db8eaa380b65d63c3f0d4364892acf	git-pickaxe: retire pickaxe	48	0.18
f2dc849e9c5fe363ad089f6c3f2b7b3d79fd6a6f	Add 'git fast-export', the sister of 'git fast-import'	48	0.18
0ecace728f8e48b87f81433b053d7f277f22e674	make "merge-index" a built-in	48	0.18
b53258182bf90b4fb922a20d164a02e6f0e9afd1	make "git unpack-file" a built-in	48	0.18
5135d1c3d2a2c8c6c9701bd0cbcf57ce587f750d	Merge branch 'nd/clear-gitenv-upon-use-of-alias'	47	0.18
9370bae2cef351617272aa142fbe4ce039833d13	Make git-check-format-ref a builtin.	47	0.18
d0bfd026a8241d544c339944976927b388d61a5e	Add basic infrastructure to assign attributes to paths	46	0.17
2d4177c01c238071777db5b1fbd8a14efb62ce02	Make fetch-pack a builtin with an internal API	46	0.17
3f784a4dcbe270a1f48b23177917a1832a777d1c	git.c: consistently use the term "builtin" instead of "internal command"	46	0.17
7cf16a14f5c070f7b14cf28023769450133172ae	handle_alias: provide GIT_PREFIX to !alias	45	0.17
b7786bb4b09463641f3e39eca18aefc630ee4f38	Merge branch 'js/difftool-builtin'	45	0.17
6441363079d85cf17aee21b8925e9745c8abda16	Make git-unpack-objects a builtin	45	0.17
281e67d6fa8e523147792c17fbe6db03f13f72e1	Fix usage string to match that given in the man page	44	0.17
47e5c0ca2cabb406518dda5c09432dc996f7ef2b	Save errno in handle_alias()	44	0.17
e414156ab6e7869b29622ee3439e3c91361f5b0e	Make git-checkout-index a builtin	44	0.17
7e29b8254f08af820b2f0c3770836638ffe517ab	Add column layout skeleton and git-column	44	0.17
e1e22e37f47e3f4d741d28920e1d27e3775c31ad	Start handling references internally as a sorted in-memory list	44	0.17
96249c04c07f00485a3ed1052ff10b27ab147fc5	Build-in send-pack, with an API for other programs to call.	44	0.17
39345a216ff37bda9fb7cec85f6de44069f5205d	Add git-upload-archive	43	0.16
85fb65ed6e41e93760a91b33b512d3d9dc67ac66	"git -p cmd" to page anywhere	42	0.16
a39b15b4f6a3f08b67b17d968935d177821e680f	Merge branch 'as/check-ignore'	42	0.16
e861ce1692fa9809f3e7b898804f8ddaf7cd8975	Merge branch 'jc/bare'	42	0.16
e9800b28c24465377dc2b8e26b322d362912647c	Merge branch 'jc/lt-ref2-with-lt-refs' into jc/ref-locking	42	0.16
d820f918711446a74cc74577f6f2535a78752708	Merge branch 'jc/count'	41	0.15
00449f992b629f7f7884fb2cf46ff411a2a4f381	Make git-fmt-merge-msg a builtin	41	0.15
1c7b76be7d620bbaf2e6b8417f04012326bbb9df	Build in merge	41	0.15
5d4a60033543e063bc9d77ca957de0187fb58fb3	Make git-pack-objects a builtin	41	0.15
53bb2c002a53cdd0746444defbf5323ea21eb8d5	Make git-prune-packed a builtin	41	0.15
348ae56cb2266d3294611112ae0368386124d720	Introduce `range-diff` to compare iterations of a topic branch	41	0.15
640ce1052bbd6a8f1dd4d58beaa521d7592a0f02	Make git-symbolic-ref a builtin	41	0.15
368aa52952deb631b38a89837c4abbb00c5261c1	add git-check-ignore sub-command	40	0.15
73c2779f421fe1eaead6f1c07a0e134a9c17d6db	builtin-am: implement skeletal builtin am	40	0.15
54b0c1e041e50cc08b1520b7d557770916d0b7ab	Add new "git replace" command	40	0.15
fb3b7b1f95ce3c39f1116ebabf0bbcbfd3bb8796	Merge branch 'jk/alias-in-bare'	39	0.15
be5908aed35d1c129f1ea38913b230ee1927361b	receive-pack: make it a builtin	39	0.15
fefe81c9964a12394d6ea81ce474ff402f0eb070	Make git-update-index a builtin	39	0.15
56532fa147d56057ad4121f5ccea8e254748afdd	Merge branch 'rs/cherry'	38	0.14
633e3556ccbcc7e443f5e9194c4a830181696ef0	build-in git-mktree	38	0.14
e8b4029f990907e24fac0e7772ee19ee6dd55c1c	Merge branch 'jc/fsck-reflog'	38	0.14
211c89682eeef310f39022b91e88d07cd5784953	Make git-remote a builtin	38	0.14
dec034a34e3887beaea9a7a390fd950346806c1e	Merge branch 'sb/repack-in-c'	38	0.14
9def2138a17325c68961c3b1e6c967d33f28a4f1	Merge branch 'js/rerere'	38	0.14
51ce34b9923d9b119ac53414584f80e05520abea	Builtin git-show-branch.	37	0.14
6d96ac18e52aca19ff1087ffa64e2d616cc75c6f	Builtin git-commit-tree.	37	0.14
b28a1ce04cdafbd3b470ec43c0f562054bd45d4d	make "git hash-object" a built-in	37	0.14
2e3ed670eb09feffe847af55db38da3dcecc2a88	git-verify-pack: make builtin	37	0.14
45b097947d6297a4b3f1016b05c66cdc15b411c2	Replace "GIT_DIR" with GIT_DIR_ENVIRONMENT.	36	0.14
8aa8c1409774ba4fd718bfa9f7f667170aa3089b	git.c: mark more strings for translation	36	0.14
b888d61c8308027433df9c243fa551f42db1c76a	Make fetch a builtin	36	0.14
112dd5146589ecb76d52bf349bd51dbe2936e936	make "mktag" a built-in	36	0.14
cd067d3bf4ea3f89969cd143be3e281e1c5ac58a	Builtin-ify git-notes	36	0.14
0e5a7faa3a903cf7a0a66c81e20a76b91f17faab	Make "git reset" a builtin.	36	0.14
ed10cb952d315ae47d2f7f6f29333a9ee227bf6b	serve: introduce git-serve	36	0.14
3bb7256281bb1d291bb705a57dc3f30b26b7c127	make "index-pack" a built-in	35	0.13
7499c996156ea99702fe13e203b97ae60d8868ad	Make git-stripspace a builtin	35	0.13
ba1f5f353775ddbf97bc0d543888783630693023	Add builtin merge-file, a minimal replacement for RCS merge	35	0.13
7f3ecebfcda9b32252a4791dc716c1e3d88c9f70	git-remote-ext	35	0.13
8ed05fb5e90f8ad2051ff7071b7425a53c594892	Make git-write-tree a builtin	35	0.13
854b4629f97fb216a91805706cd61b33beb49172	Make git-update-ref a builtin	35	0.13
ad9ac6db5d58de08d0497b9184e86926377c20dd	split_cmdline: Allow caller to access error string	34	0.13
358ddb62cfd03bba1ca2f1ae8e81b9510f42ea9a	Add "git show-ref" builtin command	34	0.13
9f2de9c121c60cba9e55db5263a7bceffcd8fe2d	Merge branch 'kb/perf-trace'	34	0.13
03a0fb0ccf48c831060c2243f830b6a12cd8fdf3	git.c: make usage match manual page	33	0.12
895f10c3b596ef955c7f252717e5b4668530c569	Builtin git-rev-parse.	33	0.12
8951d7c1f1ae38f34617b6c2490bf65e73e371f7	Build in ls-remote	33	0.12
e690e84315de1bb806eb2292f8a87cbee30b75ab	Make git-mailsplit a builtin	33	0.12
d6b64ed0f3549f56c4d948dc2c0f12abc52fd6c9	Make git-name-rev a builtin	33	0.12
3a9ed4bdee5032ecb9328aea51a752d69a2d966e	git-remote-fd	33	0.12
0305b636542c8c137ed7c82fee90db8d3621118c	Merge branch 'ei/worktree+filter'	32	0.12
62b4698e551c29b3d2539a764ad0e93cfff53c03	Use angles for placeholders consistently	32	0.12
e91ae32a01ffe294b8510c1d8cd7138493a0712f	Merge branch 'jk/skip-prefix'	32	0.12
f789e347465dded7fcec3a605473fa3f549792d8	Remove git-annotate.perl and create a builtin-alias for git-blame	32	0.12
d147e501f37a596e73a430ce46f125f83e06aa07	Builtin git-read-tree.	32	0.12
b8ec59234ba2c1833e29eece9ed87f7a471cbae2	Build in shortlog	32	0.12
10b15b86f545e081aebba8783ad9e9acf6bf0d98	git wrapper: more careful argument stuffing	32	0.12
6adcca3fe84e6859fc62df6c4ab916192ca02795	Fix initialization of a bare repository	31	0.12
f81daefe56b3c97b93a851e1ada14eeca0dea47a	Builtin git-cat-file	31	0.12
0864f26421b3c599b462bc867de948d14b268d76	Builtin git-ls-files.	31	0.12
34488e3c375d159506d5d98e012f3b36e7cd9fe7	Make git-mailinfo a builtin	31	0.12
dedc0ec5d778214528dae3bddf60d77cfcde4bd4	make "git patch-id" a built-in	31	0.12
f655651e09b9fa7bf8ff13f1b4a5b16c7956e4cf	Merge branch 'rs/strbuf-getcwd'	30	0.11
6a536e2076f02a98e0d6403ff68f3acf717fa1c4	git: treat "git -C '<path>'" as a no-op when <path> is empty	30	0.11
4ce58ee38de3ab0955b94946bfc339f387227223	commit-graph: create git-commit-graph builtin	30	0.11
6757ada403bf0eb0fb1fddcffbbeb74d91cbbb51	Make gc a builtin.	30	0.11
99caeed05d3e89176d352104a2b70a77aa7e5d81	Let 'git <command> -h' show usage without a git dir	29	0.11
c3c8835fbb182d971d71939b9a3ec7c8b86d6caf	Builtin git-init-db	29	0.11
aae01bda7f6d3224cf6b2ce0aa9aa668ce35d0b7	Builtin git-ls-tree.	29	0.11
8a0fc8d19dff0c0ed09ce6656e353daf06c21892	stash: convert apply to builtin	29	0.11
ba84a797e76c27932e0b317c7ce54925e81093f7	builtin "git prune"	28	0.11
fa82bb70d9ef3acb6a47cddfb38a7b0ca40ac362	Merge branch 'jk/show-index'	27	0.1
e30b2feb1b50c2d14d32dc3e6e41f7b20a677ff2	add 'git credential' plumbing command	27	0.1
e0d10e1c63bc52b37bbec99b07deee794058d9b4	[PATCH] Rename git-repo-config to git-config.	27	0.1
46df6906f3aaf74dafe2026b028c8c5c1a0d5f58	execv_dashed_external: wait for child on signal death	27	0.1
7213c288187bd9ef1e32e4f86c20c55436f1ae90	git: add -P as a short option for --no-pager	26	0.1
24ad8e0ce23d08d28a5d664ab6164b10125146ce	Merge branch 'jc/pickaxe'	26	0.1
b467fb0b909883f28c4653361ccfa530ccf1a03e	Merge branch 'jk/diff'	26	0.1
52ba03cbb1c718093946f5254187082bd7b32845	Built-in git-get-tar-commit-id	26	0.1
515377ea9ec6192f82a2fa5c5b5b7651d9d6cf6c	"init-db" can really be just "init"	26	0.1
6c6ea3800d1eace51994d90fbeb19ffe918e63b0	Merge branch 'sb/clean'	26	0.1
5b84f4d87a1bd58c7540e9ea82ee3673ecddbad5	Built-in git-whatchanged.	26	0.1
5f02274e4c4506b923b510a24da7991656f4db14	Merge branch 'pt/pull-builtin'	26	0.1
9201c707426b3dc0c894775416f576c25c008d46	Const tightening.	25	0.09
ac6245e31a359200b65bfdd910bba9a0fbe90c11	Builtin git-apply.	25	0.09
8434c2f1afedb936e0ea8c07ce25733013c2f743	Build in clone	25	0.09
dede29612a723a7da9f489fecbdf02500a018430	Merge branch 'ak/git-strip-extension-from-dashed-command'	25	0.09
7752999cd6bbe1aff4e34f83ed078ffffc232667	Merge branch 'rv/alias-help'	25	0.09
4dd47c3b867f51211d0dc4474dab0fee5ca614da	Refactor git_set_argv0_path() to git_extract_argv0_path()	25	0.09
606ee4be54b5ef3c8593a71b4b1bd6b4ee2d323d	Merge branch 'js/info-man-path'	24	0.09
f8adbec9feaa7a1ab9814db1115826e87033712e	cache.h: flip NO_THE_INDEX_COMPATIBILITY_MACROS switch	24	0.09
907a7cb51c6c44d25f4c734a46d5174363190a84	make "git merge-tree" a built-in	24	0.09
595d59e2b53a19f8c5c277348e4e1a07bb913ba4	git.c: ignore pager.* when launching builtin as dashed external	24	0.09
f2054be4c4816d8c363dc867f462bc0af9031c02	Merge branch 'jc/builtin-n-tar-tree'	23	0.09
2243d229f75be41318db8798fc90399dd6dedb42	Merge branch 'sb/unpack-trees-super-prefix'	23	0.09
ba1d45051e050cbcf68ccccacea86a4b6ecde731	Tentative built-in "git show"	23	0.09
55d128ae06b7b82f867961b677984620612a201c	Merge branch 'bw/grep-recurse-submodules'	23	0.09
9bfa0f9be3e718f701200a242ea04259a4dc4dfc	Merge branch 'bw/protocol-v2'	23	0.09
d3ba675aae3c6c5722ad15cd9d0f3b7634e976ce	Merge branch 'ml/trace'	22	0.08
b49ef560ed66449d24a3fdfe25972c390bb44951	Merge branch 'ag/rebase-i-in-c'	22	0.08
e36adf712251a19bd2ada0016764d340dfcf2ba0	Merge branch 'ps/stash-in-c'	22	0.08
511a3fc116799df5e3b2262f8f6e501ca73ba2fe	wrap git's main usage string.	21	0.08
73546c085d49694c5e54b421f80bde6bc25006fb	handle_options(): do not miscount how many arguments were used	21	0.08
94351118c0a820002b093598e7fac5bdf3c0291f	make alias lookup a public, procedural function	21	0.08
d74b541e0b40be0bf35e836bd8c6cbf653283d4b	branch: respect `pager.branch` in list-mode only	21	0.08
32888b8fd56175f52f3139915d931f78d8c4ef89	config: respect `pager.config` in list/get-mode only	21	0.08
7061cf0f205e86613c3a3306fdfedf2a5dcc8a65	Merge branch 'lt/setup' into __/setup-n-mv	21	0.08
de121ffe57fd14334c24f0ac51dbc6828a3bc315	tag: respect `pager.tag` in list-mode only	21	0.08
55b6745d633b9501576eb02183da0b0fb1cee964	make "git var" a built-in	21	0.08
b2141fc1d20e659810245ec6ca1c143c60e033ec	config: don't include config.h by default	20	0.08
a00a42ae33708caa742d9e9fbf10692cfa42f032	git-merge-ours: make it a builtin.	20	0.08
b10edb2df55241b2e042b3d5473537904d09d193	Merge branch 'ds/commit-graph'	20	0.08
bb1ab2db08f48add4236a5a9c08aa1a6aa4d5d48	Merge branch 'j6t/mingw'	20	0.08
23326d14edbd16469453f6c3ecdd98ab90e6efb7	Windows: Strip ".exe" from the program name.	20	0.08
65b5f9483eafea0ccdea59884da4e00e0cfeee1f	Move declaration for alias.c to alias.h	19	0.07
773b69bf7189f5babb26b899b4c35f604cd993c7	shortlog: run setup_git_directory_gently() sooner	19	0.07
5b6df8e45f31c7eb26c30536448cffe1b715e1ce	Handle invalid argc gently	19	0.07
70827b15bfb11f7aea52c6995956be9d149233e1	Split up builtin commands into separate files from git.c	18	0.07
fd5c363da4635d81f29193ae19d8fa7b5657ab39	builtin.h: Move two functions definitions to help.h.	18	0.07
0d78153952e70c21e94dc6b7eefcb2ac5337a902	Do "git add" as a builtin	18	0.07
d1ea896290629185dc0bf4efa3469b410bd41313	apply: run setup_git_directory_gently() sooner	18	0.07
eb0224c617ba6b4299f2a9f85d6c4b3b5e10abc0	archive: read local configuration	18	0.07
2cb60093e6c6b53cfc8ffe75f697386a1adab778	bundle: run setup_git_directory_gently() sooner	18	0.07
3ba7e6e29afd67e69ff5963d8ed76728824959a0	config: run setup_git_directory_gently() sooner	18	0.07
ff38d1a9953b3bce7741f8f962c5e067fda2d9ea	grep: run setup_git_directory_gently() sooner	18	0.07
e0fce074fc4fdf2d2175ff97f1cc3db918ea87e9	index-pack: run setup_git_directory_gently() sooner	18	0.07
f0ef6a6eff15a3df8dc9ec61d93e3f7e540ed0ac	ls-remote: run setup_git_directory_gently() sooner	18	0.07
3f0ec0687d95e0f53c899f964d769ca1846874da	mailinfo: read local configuration	18	0.07
253e772edeb56092e0fad43ec0640658671313c5	Merge branch 'maint'	18	0.07
3668d4238314dc5db98de3034058f68ff57a6b1e	merge-file: run setup_git_directory_gently() sooner	18	0.07
1c2b1f7018ba7d5f6a5d949e29e4eaeeef3261e2	Merge branch 'bw/ls-files-recurse-submodules'	18	0.07
2bc8c1a8a6b1cdffc19badc7272f552302b79d3e	var: run setup_git_directory_gently() sooner	18	0.07
43885c2a557871aedcbb1a412fc18e98c3dd1dc4	rename internal format-patch wip	17	0.06
4465f410d6a8fa7abc5436aac6f58196f2b618d8	checkout-index needs a working tree	17	0.06
4f38f6b5bafb1f7f85c7b54d0bb0a0e977cd947c	diff*: fix worktree setup	17	0.06
0ac77ec3150f43a5c2a6b1e47e9db5aafe53fb72	run_command: report system call errors instead of returning error codes	17	0.06
95c2b13a5fc06db6556def93843653e948e71e4b	Merge branch 'jk/common-main'	17	0.06
2cd83d10bb6bcf768129e1c4e5a4dee4b6bcd27f	setup: suppress implicit "." work-tree for bare repos	16	0.06
2756ca4347cbda05b16954cd7f445c216b935e76	use REALLOC_ARRAY for changing the allocation size of arrays	16	0.06
9f613ddd21cbd05bfc139d9b1551b5780aa171f6	Add git-for-each-ref: helper for language bindings	16	0.06
